,Mẫu ,SL,,10S,QH,Chênh,,,,,,,,,,,,,,,,,,
,Tòa L ngắn - 30 tầng,"6,00",,"1.574,98","1.472,67","-102,31",,,,,,,,,,,,,,,,,,
,Tòa L - 30 tầng,"2,00",,"1.878,42","1.778,53","-99,89",,,,,,,,,,,,,,,,,,
,Tòa Z - 30 tầng,"11,00",,"1.362,28","1.472,67","110,39",,"110,39","36.428,70",,,,,,,,,,,,,,,
,Tòa I1 - 30 tầng,"2,00",,"1.499,23","1.472,67","-26,56",,,,,,,,,,,,,,,,,,
,Tòa I2 - 30 tầng,"3,00",,"1.828,97","1.685,84","-143,13",,,,,,"1.229.290,68","-125.269,08",,,,,,,,,,,
,Tòa I3 - 8 tầng,"6,00",,"1.620,00","1.620,00","0,00",,,,,,"  1.104.021,60 ",,,,,,,,,,,,
,Tòa Vuông - 30 tầng,"2,00",,"1.047,23","1.188,16","140,93",,,,,,,,,,,,,,,,,,
,,"32,00",,,,,,,,,,,,,,,,,,,,,,
Stt, Tên lô đất ,Diện tích đất,Số tòa,"Tầng đế điển hình
 (m2)","Diện tầng ở điển hình
 (m2)","Tổng diện tích tầng đế - tính MDXD
(m2)",Mật  độ XD,"Tồng DT sàn XD TMDVCC  
(1)","Tổng DT Sàn XD ở+ hành lang (m2)+ thang
(2)","Tổng DT Sàn XD ở (m2)
","Tổng Sàn kỹ thuật, PCCC, gian lánh nạn, tum, mái (m2)
(3)",Tổng diện tích sàn XD tính hệ số SDD (4)=(1)+(2),Tổng diện tích sàn trên mặt đất  (5)=(4)+(3),Số Tầng TMDV,Số Tầng ở,Hệ số SDD,"5% diện tích sân vườn xd công trình phụ trợ 
(m2) (6)",Dân số," Chỉ tiêu sàn
 SD (tim tường) / người ",,,,,Mẫu 
  , TỔNG ,"516.014,56",32,"27.626,56","27.626,56","60.658,41","11,76","85.734,68","1.133.742,35","1.009.030,69","42.039,49","1.229.290,68","1.261.516,51",11,119,"2,38",  -   ,27.904,,,,,,
 I , B6-NOXH-01 ,"158.028,17",9,,,"17.528,70","11,09","25.924,88","362.948,36","323.024,04","12.723,87","392.427,45","401.597,11",2,28,"2,48",  -   ,8.933,36,,,,,
 1 , Đất chung cư cao tầng ,"72.045,94",9,"5.890,68","5.890,68","13.974,49","19,40","25.924,88","362.948,36","323.024,04","12.723,87","388.873,24","401.597,11",2,28,"5,40",  -   ,8.933,36,,,,,
  , B6-CC-01 ,"24.473,69",3,"2.945,34","2.945,34","4.662,75","19,05","8.641,63","120.982,79","107.674,68","4.241,29","129.624,41","133.865,70",2,28,"5,30",,2.978,,"3166,902335",2978,2978,,
  ,Tòa L ngắn - 30 tầng,,2,"1.472,67","1.472,67","2.945,34",,"5.761,09","80.655,19","71.783,12","2.827,53","86.416,28","89.243,80",2,28,,,1985,,"2111,268223",1985,,,
  ,Tòa I1 - 30 tầng,,1,"1.472,67","1.472,67","1.472,67",,"2.880,54","40.327,60","35.891,56","1.413,76","43.208,14","44.621,90",2,28,,,993,,"1055,634112",993,,,
  , B6-CC-02 ,"18.682,18",2,"1.472,67","1.472,67","3.132,16","16,77","5.761,09","80.655,19","71.783,12","2.827,53","86.416,28","89.243,80",2,28,"4,63",,1.985,,"2111,268223",1985,1985,,
  ,Tòa Z - 30 tầng,,2,"1.472,67","1.472,67","2.945,34",,"5.761,09","80.655,19","71.783,12","2.827,53","86.416,28","89.243,80",2,28,,,1.985,,"2111,268223",1985,,,
  , B6-CC-03 ,"28.890,07",4,"1.472,67","1.472,67","6.179,58","21,39","11.522,17","161.310,38","143.566,24","5.655,05","172.832,55","178.487,60",2,28,"5,98",,3.970,,"4222,536447",3970,3970,,
  ,Tòa Z - 30 tầng,,4,"1.472,67","1.472,67","5.890,68",,"11.522,17","161.310,38","143.566,24","5.655,05","172.832,55","178.487,60",2,28,,,3.970,,"4222,536447",3970,,,
